date,manner_of_death,armed,age,gender,race,city,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,state
2015-01-02,shot,gun,53,Male,Asian,Shelton,True,attack,Not fleeing,False,-123.122,47.247,Washington
2015-01-02,shot,gun,47,Male,White,Aloha,False,attack,Not fleeing,False,-122.892,45.487,Oregon
2015-01-03,shot and Tasered,unarmed,23,Male,Hispanic,Wichita,False,other,Not fleeing,False,-97.281,37.695,Kansas
2015-01-04,shot,toy weapon,32,Male,White,San Francisco,True,attack,Not fleeing,False,-122.422,37.763,California
2015-01-04,shot,nail gun,39,Male,Hispanic,Evans,False,attack,Not fleeing,False,-104.692,40.384,Colorado
2015-01-04,shot,gun,18,Male,White,Guthrie,False,attack,Not fleeing,False,-97.423,35.877,Oklahoma
2015-01-05,shot,gun,22,Male,Hispanic,Chandler,False,attack,Car,False,-111.841,33.328,Arizona
2015-01-06,shot,gun,35,Male,White,Assaria,False,attack,Not fleeing,False,-97.564,38.704,Kansas
2015-01-06,shot,unarmed,34,Female,White,Burlington,False,other,Not fleeing,True,-91.119,40.809,Iowa
2015-01-06,shot,toy weapon,47,Male,Black,Knoxville,False,attack,Not fleeing,False,-79.991,40.413,Pennsylvania
2015-01-06,shot and Tasered,knife,25,Male,White,Stockton,False,attack,Not fleeing,False,-121.299,37.93,California
2015-01-07,shot,gun,31,Male,Black,Freeport,False,attack,Not fleeing,False,-95.369,28.955,Texas
2015-01-07,shot,knife,41,Male,Black,Columbus,True,other,Not fleeing,False,-82.885,39.999,Ohio
2015-01-07,shot,gun,30,Male,White,Des Moines,False,attack,Car,False,-93.609,41.582,Iowa
2015-01-07,shot,gun,37,Male,Black,New Orleans,False,attack,Foot,True,-90.012,30.022,Louisiana
2015-01-08,shot,Unknown,28,Male,White,Huntley,False,undetermined,Not fleeing,False,-108.315,45.859,Montana
2015-01-08,shot,shovel,42,Male,White,Salt Lake City,False,attack,Not fleeing,True,-111.872,40.772,Utah
2015-01-08,shot,unarmed,36,Male,Black,Strong,False,attack,Not fleeing,False,-92.359,33.111,Arkansas
2015-01-08,shot,gun,49,Male,White,Syracuse,False,attack,Not fleeing,True,-112.083,41.083,Utah
2015-01-09,shot,gun,71,Male,White,England,False,attack,Not fleeing,False,-91.966,34.542,Arkansas
2015-01-09,shot,gun,33,Male,Hispanic,El Paso,False,attack,Not fleeing,False,-106.439,31.858,Texas
2015-01-11,shot,gun,39,Male,White,Arcola,True,attack,Not fleeing,False,-88.304,39.692,Illinois
2015-01-11,shot,gun,23,Male,Hispanic,South Gate,False,attack,Not fleeing,False,-118.183,33.951,California
2015-01-11,shot and Tasered,gun,29,Male,Hispanic,North Las Vegas,False,attack,Foot,False,-115.116,36.185,Nevada
2015-01-13,shot,gun,34,Male,White,Albuquerque,False,attack,Foot,True,-106.586,35.095,New Mexico
2015-01-13,shot,knife,43,Male,White,Jourdanton,True,other,Not fleeing,False,-98.542,28.912,Texas
2015-01-14,shot,Unknown,24,Male,Black,St. Paul,False,attack,Not fleeing,False,-93.094,44.958,Minnesota
2015-01-14,shot,Unknown,29,Male,White,Franklin County,False,attack,Not fleeing,False,-90.794,38.317,Missouri
2015-01-14,shot,gun,34,Male,Black,Chesapeake,True,attack,Not fleeing,False,-76.348,36.783,Virginia
2015-01-14,shot,knife,75,Male,White,Old Bridge,False,attack,Not fleeing,False,-74.301,40.405,New Jersey
2015-01-14,shot,gun,68,Male,White,Lake Jackson,False,attack,Not fleeing,False,-95.428,29.031,Texas
2015-01-14,shot,knife,34,Male,White,Draper,False,attack,Not fleeing,True,-111.887,40.54,Utah
2015-01-15,shot,gun,27,Male,Black,Indianapolis,False,attack,Foot,False,-85.991,39.826,Indiana
2015-01-15,shot,gun,39,Male,Black,Aurora,False,attack,Not fleeing,False,-104.772,39.726,Colorado
2015-01-15,shot,gun,24,Male,White,Bloomington,True,attack,Not fleeing,False,-93.358,44.825,Minnesota
2015-01-15,shot,knife,36,Male,Hispanic,Fairfield,True,other,Not fleeing,False,-121.997,38.266,California
2015-01-15,shot,gun,33,Male,White,Evangeline Parish,False,attack,Not fleeing,False,-92.441,30.748,Louisiana
2015-01-16,shot,gun,41,Male,White,Mabank,False,attack,Car,False,-96.069,32.407,Texas
2015-01-16,shot and Tasered,knife,48,Male,Other,Fremont,False,other,Not fleeing,False,-122.06,37.588,California
2015-01-17,shot,gun,21,Male,Black,Muskogee,False,attack,Foot,True,-95.394,35.766,Oklahoma
2015-01-17,shot,gun,24,Male,Hispanic,Los Angeles,False,attack,Not fleeing,False,-118.233,34.038,California
2015-01-17,shot,knife,27,Male,Hispanic,Fort Worth,False,attack,Not fleeing,False,-97.334,32.811,Texas
2015-01-18,shot,gun,32,Male,White,Maricopa,True,attack,Not fleeing,False,-112.042,33.085,Arizona
2015-01-18,shot and Tasered,gun,67,Male,White,Gunlock,True,attack,Not fleeing,False,-82.921,37.565,Kentucky
2015-01-19,shot,knife,49,Male,White,Weymouth,False,attack,Not fleeing,False,-70.932,42.257,Massachusetts
2015-01-20,shot,Unknown,42,Male,Black,Scottsdale,False,other,Car,False,-111.909,33.509,Arizona
2015-01-21,shot,gun,36,Male,White,Hemet,False,attack,Not fleeing,False,-116.958,33.742,California
2015-01-21,shot,gun,36,Male,Hispanic,Chapeno,False,attack,Foot,False,-99.123,26.559,Texas
2015-01-21,shot,gun,19,Male,Black,St. Louis,False,attack,Not fleeing,False,-90.25,38.665,Missouri
2015-01-21,shot,gun,54,Male,White,Derry,True,attack,Not fleeing,False,-71.337,42.908,New Hampshire
